,timestamp,blocktime,hashrate,median_single_trans,fee_percent_in_reward,fees,price,total_send_usd,transaction_number,diff
71,2016-03-12,0.278,1291076502129.0,15.336,0.0919,0.0131,14.326,28405166.0,28127.0,20149570959697.0
72,2016-03-13,0.282,1246558725868.0,15.095,0.103,0.0131,13.457,21971082.0,28528.0,20065505230856.0
73,2016-03-14,0.241,1295479530865.0,13.784,0.0754,0.0104,12.707,16467323.0,29273.0,17572301377575.0
74,2016-03-15,0.239,1322233879118.0,14.504,0.0742,0.0114,13.233,14752290.0,27596.0,17777795755128.0
75,2016-03-16,0.237,1369126446533.0,12.562,0.0955,0.011,11.603,20235622.0,33531.0,18038767959468.0
76,2016-03-17,0.242,1354841058934.0,11.125,0.0855,0.0088,10.208,24047475.0,31821.0,18300379671848.0
77,2016-03-18,0.237,1419687675841.0,10.689,0.134,0.0135,10.568,8371783.0,34779.0,18651701693615.0
78,2016-03-19,0.239,1451318582726.0,10.505,0.11,0.0113,10.23,5684950.0,32447.0,19423415211247.0
79,2016-03-20,0.24,1429138053075.0,11.4,0.101,0.011,10.977,9785835.0,32511.0,19268502008579.0
80,2016-03-21,0.237,1466450428498.0,11.942,0.0805,0.00922,11.604,7954556.0,32890.0,19567681020918.0
81,2016-03-22,0.241,1389293532704.0,12.251,0.101,0.0122,11.848,6791986.0,31786.0,18765991442708.0
82,2016-03-23,0.236,1505188788529.0,11.45,0.125,0.0128,11.393,10871283.0,36947.0,19801092917697.0
83,2016-03-24,0.237,1574226191933.0,10.675,0.123,0.0118,10.782,5976700.0,36762.0,20871590725202.0
84,2016-03-25,0.236,1620682564584.0,10.822,0.106,0.0104,10.837,3613820.0,36646.0,21414194355380.0
85,2016-03-26,0.238,1641833074167.0,11.187,0.0595,0.00685,10.684,12535619.0,29974.0,21976992064253.0
86,2016-03-27,0.24,1608136382092.0,11.47,0.0824,0.00878,11.19,8877638.0,33613.0,21768012224480.0
87,2016-03-28,0.24,1670778019603.0,11.919,0.0744,0.00815,11.557,14942548.0,33915.0,22513734563842.0
88,2016-03-29,0.238,1712185700381.0,12.141,0.108,0.012,11.799,16116775.0,36767.0,22822470238901.0
89,2016-03-30,0.239,1769035745511.0,12.138,0.078,0.00912,11.754,10557035.0,32259.0,23889368498740.0
90,2016-03-31,0.237,1789817393680.0,11.86,0.0741,0.00844,11.609,4442095.0,33320.0,23749184001916.0
91,2016-04-01,0.243,1726949885023.0,11.818,0.0569,0.00705,11.456,4308961.0,29358.0,23519625245384.0
92,2016-04-02,0.239,1825846322391.0,11.885,0.0553,0.00697,11.492,2509895.0,29588.0,24295726637777.0
93,2016-04-03,0.237,1909197642345.0,11.526,0.0758,0.00803,11.275,4952825.0,34907.0,25245856096051.0
94,2016-04-04,0.239,1918397536244.0,10.716,0.0879,0.00783,10.716,7384690.0,39173.0,25705810157077.0
95,2016-04-05,0.24,1894439759421.0,10.882,0.0678,0.00716,10.588,6235075.0,32078.0,25667142451062.0
96,2016-04-06,0.242,1812659262510.0,10.601,0.0672,0.00697,10.382,7517412.0,31893.0,24640313534812.0
97,2016-04-07,0.236,1973048220070.0,9.993,0.0769,0.00731,9.876,5431395.0,34010.0,26139886978680.0
98,2016-04-08,0.243,1960189595187.0,9.851,0.0633,0.00602,9.608,12558510.0,31923.0,26843451780219.0
99,2016-04-09,0.237,2037024862972.0,8.875,0.0598,0.0052,8.622,10179246.0,32237.0,27083828046070.0
100,2016-04-10,0.243,1971575627451.0,8.693,0.0591,0.00522,8.48,5288219.0,30327.0,27012246684283.0
101,2016-04-11,0.239,1930473092384.0,7.966,0.0715,0.0052,7.872,8583463.0,34673.0,26095428773645.0
102,2016-04-12,0.239,2027421380537.0,7.797,0.101,0.00712,7.789,8863891.0,36051.0,27243186215275.0
103,2016-04-13,0.239,2040375130699.0,8.467,0.0973,0.00764,8.376,7905850.0,34781.0,27545262683293.0
104,2016-04-14,0.238,2122167529802.0,8.363,0.0717,0.00556,8.321,4924922.0,34959.0,28306534530571.0
105,2016-04-15,0.239,2151074943474.0,8.464,0.0535,0.00468,8.279,3588713.0,30483.0,28880936928078.0
106,2016-04-16,0.239,2099280806855.0,7.771,0.0912,0.00695,9.246,7626140.0,40203.0,28221429752159.0
107,2016-04-17,0.238,2224801291535.0,9.226,0.0617,0.00543,9.061,5786431.0,33513.0,29523844031978.0
108,2016-04-18,0.241,2223765137484.0,9.178,0.0596,0.00529,9.036,3692097.0,32622.0,30029498659251.0
